0:0:0:0,PM 1.0 : 80, PM 2.5 : 80, PM 10 : 80,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:2:40,PM 1.0 : 87, PM 2.5 : 87, PM 10 : 87,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:4:81,PM 1.0 : 86, PM 2.5 : 86, PM 10 : 86,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:6:122,PM 1.0 : 86, PM 2.5 : 86, PM 10 : 86,Temperature = 23.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:8:163,PM 1.0 : 83, PM 2.5 : 83, PM 10 : 83,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:10:204,PM 1.0 : 84, PM 2.5 : 84, PM 10 : 84,Temperature = 25.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:12:246,PM 1.0 : 84, PM 2.5 : 84, PM 10 : 84,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:14:286,PM 1.0 : 85, PM 2.5 : 85, PM 10 : 85,Temperature = 23.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:16:327,PM 1.0 : 85, PM 2.5 : 85, PM 10 : 85,Temperature = 25.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:18:368,PM 1.0 : 83, PM 2.5 : 83, PM 10 : 83,Temperature = 25.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:20:410,PM 1.0 : 83, PM 2.5 : 83, PM 10 : 83,Temperature = 24.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:22:451,PM 1.0 : 82, PM 2.5 : 82, PM 10 : 82,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:24:492,PM 1.0 : 83, PM 2.5 : 83, PM 10 : 83,Temperature = 25.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:26:532,PM 1.0 : 82, PM 2.5 : 82, PM 10 : 82,Temperature = 23.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:28:574,PM 1.0 : 82, PM 2.5 : 82, PM 10 : 82,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:30:615,PM 1.0 : 84, PM 2.5 : 84, PM 10 : 84,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:32:656,PM 1.0 : 83, PM 2.5 : 83, PM 10 : 83,Temperature = 26.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:34:697,PM 1.0 : 82, PM 2.5 : 82, PM 10 : 82,Temperature = 26.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:36:738,PM 1.0 : 77, PM 2.5 : 77, PM 10 : 77,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:38:778,PM 1.0 : 82, PM 2.5 : 82, PM 10 : 82,Temperature = 23.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:40:820,PM 1.0 : 82, PM 2.5 : 82, PM 10 : 82,Temperature = 25.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:42:861,PM 1.0 : 82, PM 2.5 : 82, PM 10 : 82,Temperature = 23.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:44:902,PM 1.0 : 81, PM 2.5 : 81, PM 10 : 81,Temperature = 24.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:46:944,PM 1.0 : 79, PM 2.5 : 79, PM 10 : 79,Temperature = 24.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:48:985,PM 1.0 : 78, PM 2.5 : 78, PM 10 : 78,Temperature = 25.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:51:25,PM 1.0 : 77, PM 2.5 : 77, PM 10 : 77,Temperature = 24.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:53:66,PM 1.0 : 76, PM 2.5 : 76, PM 10 : 76,Temperature = 24.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:55:107,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 25.00, Humidity = 26.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:57:148,PM 1.0 : 77, PM 2.5 : 77, PM 10 : 77,Temperature = 24.00, Humidity = 26.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:0:59:189,PM 1.0 : 76, PM 2.5 : 76, PM 10 : 76,Temperature = 23.00, Humidity = 26.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:1:231,PM 1.0 : 76, PM 2.5 : 76, PM 10 : 76,Temperature = 23.00, Humidity = 26.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:3:271,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 23.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:5:312,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 25.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:7:356,PM 1.0 : 72, PM 2.5 : 72, PM 10 : 72,Temperature = 24.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:9:399,PM 1.0 : 72, PM 2.5 : 72, PM 10 : 72,Temperature = 24.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:11:440,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 26.00, Humidity = 26.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:13:481,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:15:522,PM 1.0 : 72, PM 2.5 : 72, PM 10 : 72,Temperature = 25.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:17:562,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 26.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:19:603,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 24.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:21:643,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 23.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:23:684,PM 1.0 : 72, PM 2.5 : 72, PM 10 : 72,Temperature = 26.00, Humidity = 25.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:25:725,PM 1.0 : 75, PM 2.5 : 75, PM 10 : 75,Temperature = 26.00, Humidity = 26.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:27:766,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 25.00, Humidity = 24.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:29:806,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 25.00, Humidity = 23.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:31:847,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 24.00, Humidity = 22.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:33:888,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 25.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:35:930,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 23.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:37:971,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 25.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:40:12,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 26.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:42:52,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 26.00, Humidity = 20.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:44:93,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 26.00, Humidity = 19.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:1:46:134,PM 1.0 : 74, PM 2.5 : 74, PM 10 : 74,Temperature = 24.00, Humidity = 18.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
