,time,PM 1.0,PM2.5,PM 10,Temperature,Humidity,speed,Latitude,Longitude
0,0:0:0:0,80,80,80,24.0,24.0,0.0,0.0,0.0
1,0:0:2:40,87,87,87,24.0,24.0,0.0,0.0,0.0
2,0:0:4:81,86,86,86,24.0,24.0,0.0,0.0,0.0
3,0:0:6:122,86,86,86,23.0,24.0,0.0,0.0,0.0
4,0:0:8:163,83,83,83,24.0,24.0,0.0,0.0,0.0
5,0:0:10:204,84,84,84,25.0,24.0,0.0,0.0,0.0
6,0:0:12:246,84,84,84,24.0,24.0,0.0,0.0,0.0
7,0:0:14:286,85,85,85,23.0,24.0,0.0,0.0,0.0
8,0:0:16:327,85,85,85,25.0,24.0,0.0,0.0,0.0
9,0:0:18:368,83,83,83,25.0,24.0,0.0,0.0,0.0
10,0:0:20:410,83,83,83,24.0,25.0,0.0,0.0,0.0
11,0:0:22:451,82,82,82,24.0,24.0,0.0,0.0,0.0
12,0:0:24:492,83,83,83,25.0,24.0,0.0,0.0,0.0
13,0:0:26:532,82,82,82,23.0,25.0,0.0,0.0,0.0
14,0:0:28:574,82,82,82,24.0,24.0,0.0,0.0,0.0
15,0:0:30:615,84,84,84,24.0,24.0,0.0,0.0,0.0
16,0:0:32:656,83,83,83,26.0,25.0,0.0,0.0,0.0
17,0:0:34:697,82,82,82,26.0,25.0,0.0,0.0,0.0
18,0:0:36:738,77,77,77,24.0,24.0,0.0,0.0,0.0
19,0:0:38:778,82,82,82,23.0,25.0,0.0,0.0,0.0
20,0:0:40:820,82,82,82,25.0,24.0,0.0,0.0,0.0
21,0:0:42:861,82,82,82,23.0,25.0,0.0,0.0,0.0
22,0:0:44:902,81,81,81,24.0,25.0,0.0,0.0,0.0
23,0:0:46:944,79,79,79,24.0,25.0,0.0,0.0,0.0
24,0:0:48:985,78,78,78,25.0,25.0,0.0,0.0,0.0
25,0:0:51:25,77,77,77,24.0,25.0,0.0,0.0,0.0
26,0:0:53:66,76,76,76,24.0,25.0,0.0,0.0,0.0
27,0:0:55:107,75,75,75,25.0,26.0,0.0,0.0,0.0
28,0:0:57:148,77,77,77,24.0,26.0,0.0,0.0,0.0
29,0:0:59:189,76,76,76,23.0,26.0,0.0,0.0,0.0
30,0:1:1:231,76,76,76,23.0,26.0,0.0,0.0,0.0
31,0:1:3:271,73,73,73,23.0,25.0,0.0,0.0,0.0
32,0:1:5:312,75,75,75,25.0,25.0,0.0,0.0,0.0
33,0:1:7:356,72,72,72,24.0,25.0,0.0,0.0,0.0
34,0:1:9:399,72,72,72,24.0,25.0,0.0,0.0,0.0
35,0:1:11:440,74,74,74,26.0,26.0,0.0,0.0,0.0
36,0:1:13:481,75,75,75,24.0,24.0,0.0,0.0,0.0
37,0:1:15:522,72,72,72,25.0,24.0,0.0,0.0,0.0
38,0:1:17:562,74,74,74,26.0,25.0,0.0,0.0,0.0
39,0:1:19:603,73,73,73,24.0,24.0,0.0,0.0,0.0
40,0:1:21:643,73,73,73,23.0,24.0,0.0,0.0,0.0
41,0:1:23:684,72,72,72,26.0,25.0,0.0,0.0,0.0
42,0:1:25:725,75,75,75,26.0,26.0,0.0,0.0,0.0
43,0:1:27:766,74,74,74,25.0,24.0,0.0,0.0,0.0
44,0:1:29:806,73,73,73,25.0,23.0,0.0,0.0,0.0
45,0:1:31:847,74,74,74,24.0,22.0,0.0,0.0,0.0
46,0:1:33:888,73,73,73,25.0,21.0,0.0,0.0,0.0
47,0:1:35:930,74,74,74,23.0,20.0,0.0,0.0,0.0
48,0:1:37:971,73,73,73,25.0,19.0,0.0,0.0,0.0
49,0:1:40:12,74,74,74,26.0,20.0,0.0,0.0,0.0
50,0:1:42:52,73,73,73,26.0,20.0,0.0,0.0,0.0
51,0:1:44:93,74,74,74,26.0,19.0,0.0,0.0,0.0
52,0:1:46:134,74,74,74,24.0,18.0,0.0,0.0,0.0
53,0:1:48:176,74,74,74,24.0,18.0,0.0,0.0,0.0
54,0:1:50:219,73,73,73,23.0,18.0,0.0,0.0,0.0
55,0:1:52:263,76,76,76,23.0,18.0,0.0,0.0,0.0
56,0:1:54:306,77,77,77,25.0,19.0,0.0,0.0,0.0
57,0:1:56:348,79,79,79,24.0,18.0,0.0,0.0,0.0
58,0:1:58:392,79,79,79,24.0,19.0,0.0,0.0,0.0
59,0:2:0:435,79,79,79,22.0,19.0,0.0,0.0,0.0
60,0:2:2:479,78,78,78,22.0,19.0,0.0,0.0,0.0
61,0:2:4:522,78,78,78,22.0,19.0,0.0,0.0,0.0
62,0:2:6:566,77,77,77,22.0,19.0,0.0,0.0,0.0
63,0:2:8:609,76,76,76,24.0,20.0,0.0,0.0,0.0
64,0:2:10:653,75,75,75,23.0,20.0,0.0,0.0,0.0
65,0:2:12:696,73,73,73,22.0,20.0,0.0,0.0,0.0
66,0:2:14:738,74,74,74,22.0,20.0,0.0,0.0,0.0
67,0:2:16:781,75,75,75,21.0,20.0,0.0,0.0,0.0
68,0:2:18:825,75,75,75,23.0,21.0,0.0,0.0,0.0
69,0:2:20:869,75,75,75,23.0,21.0,0.0,0.0,0.0
70,0:2:22:913,75,75,75,23.0,21.0,0.0,0.0,0.0
71,0:2:24:956,75,75,75,21.0,20.0,0.0,0.0,0.0
72,0:2:27:0,76,76,76,23.0,21.0,0.0,0.0,0.0
73,0:2:29:43,76,76,76,23.0,21.0,0.0,0.0,0.0
74,0:2:31:87,74,74,74,21.0,20.0,0.0,0.0,0.0
75,0:2:33:129,73,73,73,22.0,21.0,0.0,0.0,0.0
76,0:2:35:173,73,73,73,23.0,22.0,0.0,0.0,0.0
77,0:2:37:216,72,72,72,22.0,22.0,0.0,0.0,0.0
78,0:2:39:260,72,72,72,20.0,20.0,0.0,0.0,0.0
79,0:2:41:303,73,73,73,20.0,20.0,0.0,0.0,0.0
80,0:2:43:350,71,71,71,22.0,22.0,0.0,0.0,0.0
81,0:2:45:394,69,69,69,21.0,21.0,0.0,0.0,0.0
82,0:2:47:437,27,28,29,20.0,20.0,0.0,0.0,0.0
83,0:2:49:484,29,30,31,22.0,23.0,0.0,0.0,0.0
84,0:2:51:528,31,32,32,21.0,21.0,0.0,0.0,0.0
85,0:2:53:572,73,73,73,19.0,21.0,0.0,0.0,0.0
86,0:2:55:617,73,73,73,21.0,22.0,0.0,0.0,0.0
87,0:2:57:660,73,73,73,20.0,21.0,0.0,0.0,0.0
88,0:2:59:704,73,73,73,21.0,23.0,0.0,0.0,0.0
89,0:3:1:747,73,73,73,21.0,23.0,0.0,0.0,0.0
90,0:3:3:790,70,70,70,20.0,22.0,0.0,0.0,0.0
91,0:3:5:834,69,69,69,21.0,23.0,1.67,35.238765,126.8684
92,0:3:7:882,69,69,69,21.0,24.0,0.61,35.238761,126.868408
93,0:3:9:928,69,69,69,20.0,22.0,0.22,35.238765,126.868408
94,0:3:11:976,70,70,70,19.0,23.0,0.44,35.238765,126.868408
95,0:3:14:23,69,69,69,20.0,23.0,0.19,35.238758,126.868408
96,0:3:16:71,71,71,71,19.0,23.0,0.52,35.238746,126.868408
97,0:3:18:118,70,70,70,20.0,23.0,0.41,35.238742,126.868408
98,0:3:20:166,70,70,70,19.0,23.0,0.24,35.238735,126.868408
99,0:3:22:213,69,69,69,19.0,23.0,0.26,35.238731,126.868408
100,0:3:24:261,67,67,67,19.0,23.0,0.37,35.238723,126.868415
101,0:3:26:308,66,66,66,18.0,24.0,0.43,35.238719,126.868415
102,0:3:28:356,30,31,32,18.0,24.0,0.41,35.238719,126.868423
103,0:3:30:404,30,31,32,19.0,24.0,0.52,35.238708,126.868431
104,0:3:32:451,30,31,32,20.0,24.0,0.52,35.2387,126.868431
105,0:3:34:498,30,31,31,19.0,24.0,0.48,35.238693,126.868438
106,0:3:36:545,30,31,31,17.0,23.0,0.33,35.238689,126.868438
107,0:3:38:592,29,29,29,19.0,25.0,0.0,35.238685,126.868438
108,0:3:40:638,29,29,29,19.0,25.0,0.0,35.238685,126.868438
109,0:3:42:685,29,29,29,17.0,24.0,0.0,35.238685,126.868438
110,0:3:44:732,29,29,29,19.0,25.0,0.0,35.238685,126.868438
111,0:3:46:780,29,29,29,17.0,24.0,0.0,35.238685,126.868438
112,0:3:48:827,29,29,29,17.0,25.0,0.0,35.238685,126.868438
113,0:3:50:875,29,29,29,19.0,26.0,0.0,35.238685,126.868438
114,0:3:52:922,28,28,28,19.0,26.0,0.0,35.238685,126.868438
115,0:3:54:970,28,28,28,19.0,26.0,0.0,35.238685,126.868438
116,0:3:57:17,28,28,28,19.0,26.0,0.0,35.238685,126.868438
117,0:3:59:65,28,28,28,16.0,25.0,0.0,35.238685,126.868438
118,0:4:1:112,28,28,28,18.0,27.0,0.0,35.238685,126.868438
119,0:4:3:159,28,28,28,17.0,26.0,0.0,35.238685,126.868438
120,0:4:5:207,28,28,28,17.0,26.0,0.0,35.238685,126.868438
121,0:4:7:254,30,30,30,19.0,27.0,0.0,35.238685,126.868438
122,0:4:9:302,32,32,32,18.0,28.0,0.0,35.238685,126.868438
123,0:4:11:350,35,35,35,17.0,27.0,0.0,35.238685,126.868438
124,0:4:13:391,35,35,35,18.0,27.0,1.31,35.238708,126.86837
125,0:4:15:441,36,36,36,19.0,28.0,0.8,35.238708,126.868377
126,0:4:17:488,38,38,38,18.0,29.0,0.48,35.238708,126.868377
127,0:4:19:534,63,63,63,18.0,29.0,0.39,35.238697,126.86837
128,0:4:21:582,63,63,63,16.0,28.0,0.48,35.238681,126.868362
129,0:4:23:629,64,64,64,16.0,28.0,0.48,35.238677,126.868354
130,0:4:25:676,63,63,63,17.0,28.0,0.5,35.238674,126.868354
131,0:4:27:723,64,64,64,18.0,30.0,0.41,35.238666,126.868362
132,0:4:29:770,64,64,64,18.0,29.0,0.33,35.238655,126.86837
133,0:4:31:818,64,64,64,18.0,30.0,0.48,35.238643,126.86837
134,0:4:33:865,64,64,64,16.0,29.0,0.59,35.238639,126.86837
135,0:4:35:913,64,64,64,16.0,29.0,0.39,35.238632,126.86837
136,0:4:37:960,65,65,65,17.0,28.0,0.28,35.238632,126.868377
137,0:4:40:8,65,65,65,14.0,28.0,0.46,35.238632,126.868385
138,0:4:42:55,65,65,65,17.0,29.0,0.07,35.238628,126.868385
139,0:4:44:103,65,65,65,16.0,29.0,0.0,35.238624,126.868385
140,0:4:46:150,65,65,65,17.0,30.0,0.0,35.238624,126.868385
141,0:4:48:197,66,66,66,17.0,31.0,0.0,35.238624,126.868385
142,0:4:50:245,67,67,67,15.0,30.0,0.0,35.238624,126.868385
143,0:4:52:293,67,67,67,14.0,30.0,0.0,35.238624,126.868385
144,0:4:54:335,65,65,65,15.0,30.0,1.07,35.238643,126.868377
145,0:4:56:386,66,66,66,16.0,31.0,0.61,35.238609,126.868408
146,0:4:58:433,67,67,67,17.0,32.0,0.33,35.238594,126.868423
147,0:5:0:482,67,67,67,16.0,32.0,0.37,35.238597,126.868431
148,0:5:2:530,67,67,67,14.0,31.0,0.37,35.238597,126.868431
149,0:5:4:575,66,66,66,17.0,32.0,0.37,35.238597,126.868431
150,0:5:6:621,68,68,68,14.0,31.0,0.37,35.238597,126.868431
151,0:5:8:663,67,67,67,16.0,31.0,0.37,35.238597,126.868431
152,0:5:10:709,65,65,65,15.0,31.0,4.72,35.238536,126.868431
153,0:5:12:756,29,30,31,15.0,31.0,2.22,35.238529,126.868408
154,0:5:14:804,29,30,31,14.0,31.0,1.41,35.238552,126.868392
155,0:5:16:853,29,30,31,16.0,32.0,0.89,35.238571,126.868392
156,0:5:18:901,29,30,31,15.0,31.0,0.91,35.238613,126.868423
157,0:5:20:949,29,30,31,16.0,32.0,0.67,35.238616,126.868408
158,0:5:22:998,29,30,31,15.0,31.0,0.41,35.238628,126.8684
159,0:5:25:46,29,30,31,14.0,31.0,0.22,35.238639,126.868392
160,0:5:27:95,29,30,31,16.0,33.0,0.2,35.238643,126.868385
161,0:5:29:143,29,30,31,16.0,33.0,0.46,35.238655,126.868385
162,0:5:31:192,29,30,31,16.0,33.0,0.48,35.238658,126.868385
163,0:5:33:240,29,30,31,15.0,32.0,0.33,35.238662,126.868385
164,0:5:35:288,29,30,31,14.0,32.0,0.22,35.238666,126.868385
165,0:5:37:336,29,30,31,14.0,32.0,0.19,35.238662,126.868385
166,0:5:39:384,29,30,31,13.0,32.0,0.11,35.238662,126.868377
167,0:5:41:432,29,30,31,14.0,33.0,0.41,35.238655,126.86837
168,0:5:43:480,29,30,30,15.0,32.0,0.0,35.238651,126.86837
169,0:5:45:527,28,29,29,15.0,33.0,0.0,35.238651,126.86837
170,0:5:47:575,28,29,29,15.0,33.0,0.0,35.238651,126.86837
171,0:5:49:623,29,30,30,14.0,33.0,0.0,35.238651,126.86837
172,0:5:51:672,28,29,29,15.0,33.0,0.0,35.238651,126.86837
173,0:5:53:719,28,29,29,15.0,33.0,0.0,35.238651,126.86837
174,0:5:55:768,28,29,29,14.0,33.0,0.0,35.238651,126.86837
175,0:5:57:816,28,29,29,13.0,33.0,0.0,35.238651,126.86837
176,0:5:59:865,28,29,29,14.0,34.0,0.0,35.238651,126.86837
177,0:6:1:912,28,29,29,15.0,34.0,0.0,35.238651,126.86837
178,0:6:3:961,28,29,29,14.0,34.0,0.0,35.238651,126.86837
179,0:6:6:9,28,29,29,14.0,34.0,0.0,35.238651,126.86837
180,0:6:8:58,29,30,30,15.0,34.0,0.0,35.238651,126.86837
181,0:6:10:106,31,31,31,15.0,34.0,0.0,35.238651,126.86837
182,0:6:12:153,74,74,74,14.0,34.0,0.0,35.238651,126.86837
183,0:6:14:201,74,74,74,15.0,35.0,0.0,35.238651,126.86837
184,0:6:16:250,73,73,73,15.0,35.0,0.0,35.238651,126.86837
185,0:6:18:297,71,71,71,13.0,34.0,0.0,35.238651,126.86837
186,0:6:20:344,70,70,70,14.0,34.0,0.0,35.238651,126.86837
187,0:6:22:392,68,68,68,14.0,34.0,0.0,35.238651,126.86837
188,0:6:24:440,24,25,25,13.0,35.0,0.0,35.238651,126.86837
189,0:6:26:488,24,25,25,14.0,35.0,0.0,35.238651,126.86837
190,0:6:28:536,24,25,25,15.0,35.0,0.0,35.238651,126.86837
191,0:6:30:584,24,25,25,14.0,35.0,0.0,35.238651,126.86837
192,0:6:32:632,24,25,25,14.0,35.0,0.0,35.238651,126.86837
193,0:6:34:681,24,25,25,13.0,35.0,0.0,35.238651,126.86837
194,0:6:36:729,25,26,26,13.0,35.0,0.0,35.238651,126.86837
195,0:6:38:776,25,26,26,14.0,36.0,0.0,35.238651,126.86837
196,0:6:40:825,25,26,26,13.0,35.0,0.0,35.238651,126.86837
197,0:6:42:873,25,26,26,13.0,36.0,0.0,35.238651,126.86837
198,0:6:44:922,25,26,26,12.0,35.0,0.0,35.238651,126.86837
199,0:6:46:970,25,26,26,13.0,36.0,0.0,35.238651,126.86837
200,0:6:49:18,25,26,26,13.0,37.0,0.0,35.238651,126.86837
