time,Latitude,Longitude,PM2.5
0:0:0:0,35.238765,126.8684,80
0:0:2:40,35.238765,126.8684,87
0:0:4:81,35.238765,126.8684,86
0:0:6:122,35.238765,126.8684,86
0:0:8:163,35.238765,126.8684,83
0:0:10:204,35.238765,126.8684,84
0:0:12:246,35.238765,126.8684,84
0:0:14:286,35.238765,126.8684,85
0:0:16:327,35.238765,126.8684,85
0:0:18:368,35.238765,126.8684,83
0:0:20:410,35.238765,126.8684,83
0:0:22:451,35.238765,126.8684,82
0:0:24:492,35.238765,126.8684,83
0:0:26:532,35.238765,126.8684,82
0:0:28:574,35.238765,126.8684,82
0:0:30:615,35.238765,126.8684,84
0:0:32:656,35.238765,126.8684,83
0:0:34:697,35.238765,126.8684,82
0:0:36:738,35.238765,126.8684,77
0:0:38:778,35.238765,126.8684,82
0:0:40:820,35.238765,126.8684,82
0:0:42:861,35.238765,126.8684,82
0:0:44:902,35.238765,126.8684,81
0:0:46:944,35.238765,126.8684,79
0:0:48:985,35.238765,126.8684,78
0:0:51:25,35.238765,126.8684,77
0:0:53:66,35.238765,126.8684,76
0:0:55:107,35.238765,126.8684,75
0:0:57:148,35.238765,126.8684,77
0:0:59:189,35.238765,126.8684,76
0:1:1:231,35.238765,126.8684,76
0:1:3:271,35.238765,126.8684,73
0:1:5:312,35.238765,126.8684,75
0:1:7:356,35.238765,126.8684,72
0:1:9:399,35.238765,126.8684,72
0:1:11:440,35.238765,126.8684,74
0:1:13:481,35.238765,126.8684,75
0:1:15:522,35.238765,126.8684,72
0:1:17:562,35.238765,126.8684,74
0:1:19:603,35.238765,126.8684,73
0:1:21:643,35.238765,126.8684,73
0:1:23:684,35.238765,126.8684,72
0:1:25:725,35.238765,126.8684,75
0:1:27:766,35.238765,126.8684,74
0:1:29:806,35.238765,126.8684,73
0:1:31:847,35.238765,126.8684,74
0:1:33:888,35.238765,126.8684,73
0:1:35:930,35.238765,126.8684,74
0:1:37:971,35.238765,126.8684,73
0:1:40:12,35.238765,126.8684,74
0:1:42:52,35.238765,126.8684,73
0:1:44:93,35.238765,126.8684,74
0:1:46:134,35.238765,126.8684,74
0:1:48:176,35.238765,126.8684,74
0:1:50:219,35.238765,126.8684,73
0:1:52:263,35.238765,126.8684,76
0:1:54:306,35.238765,126.8684,77
0:1:56:348,35.238765,126.8684,79
0:1:58:392,35.238765,126.8684,79
0:2:0:435,35.238765,126.8684,79
0:2:2:479,35.238765,126.8684,78
0:2:4:522,35.238765,126.8684,78
0:2:6:566,35.238765,126.8684,77
0:2:8:609,35.238765,126.8684,76
0:2:10:653,35.238765,126.8684,75
0:2:12:696,35.238765,126.8684,73
0:2:14:738,35.238765,126.8684,74
0:2:16:781,35.238765,126.8684,75
0:2:18:825,35.238765,126.8684,75
0:2:20:869,35.238765,126.8684,75
0:2:22:913,35.238765,126.8684,75
0:2:24:956,35.238765,126.8684,75
0:2:27:0,35.238765,126.8684,76
0:2:29:43,35.238765,126.8684,76
0:2:31:87,35.238765,126.8684,74
0:2:33:129,35.238765,126.8684,73
0:2:35:173,35.238765,126.8684,73
0:2:37:216,35.238765,126.8684,72
0:2:39:260,35.238765,126.8684,72
0:2:41:303,35.238765,126.8684,73
0:2:43:350,35.238765,126.8684,71
0:2:45:394,35.238765,126.8684,69
0:2:47:437,35.238765,126.8684,28
0:2:49:484,35.238765,126.8684,30
0:2:51:528,35.238765,126.8684,32
0:2:53:572,35.238765,126.8684,73
0:2:55:617,35.238765,126.8684,73
0:2:57:660,35.238765,126.8684,73
0:2:59:704,35.238765,126.8684,73
0:3:1:747,35.238765,126.8684,73
0:3:3:790,35.238765,126.8684,70
0:3:5:834,35.238765,126.8684,69
0:3:7:882,35.238761,126.868408,69
0:3:9:928,35.238765,126.868408,69
0:3:11:976,35.238765,126.868408,70
0:3:14:23,35.238758,126.868408,69
0:3:16:71,35.238746,126.868408,71
0:3:18:118,35.238742,126.868408,70
0:3:20:166,35.238735,126.868408,70
0:3:22:213,35.238731,126.868408,69
0:3:24:261,35.238723,126.868415,67
0:3:26:308,35.238719,126.868415,66
0:3:28:356,35.238719,126.868423,31
0:3:30:404,35.238708,126.868431,31
0:3:32:451,35.2387,126.868431,31
0:3:34:498,35.238693,126.868438,31
0:3:36:545,35.238689,126.868438,31
0:3:38:592,35.238685,126.868438,29
0:3:40:638,35.238685,126.868438,29
0:3:42:685,35.238685,126.868438,29
0:3:44:732,35.238685,126.868438,29
0:3:46:780,35.238685,126.868438,29
0:3:48:827,35.238685,126.868438,29
0:3:50:875,35.238685,126.868438,29
0:3:52:922,35.238685,126.868438,28
0:3:54:970,35.238685,126.868438,28
0:3:57:17,35.238685,126.868438,28
0:3:59:65,35.238685,126.868438,28
0:4:1:112,35.238685,126.868438,28
0:4:3:159,35.238685,126.868438,28
0:4:5:207,35.238685,126.868438,28
0:4:7:254,35.238685,126.868438,30
0:4:9:302,35.238685,126.868438,32
0:4:11:350,35.238685,126.868438,35
0:4:13:391,35.238708,126.86837,35
0:4:15:441,35.238708,126.868377,36
0:4:17:488,35.238708,126.868377,38
